x_0,x_1,x_2,x_3,x_4,x_5,x_6,energy,num_occurrences
0,0,0,0,0,0,0,0.0,1
0,0,1,0,0,0,0,-200.21300000000002,1
0,0,1,0,0,0,1,-100.79000000000002,1
0,0,0,0,0,0,1,-300.577,1
0,0,0,0,1,0,1,-100.61500000000001,1
0,0,1,0,1,0,1,299.17199999999997,1
0,0,1,0,1,0,0,-200.25100000000003,1
0,0,0,0,1,0,0,-200.038,1
0,0,0,0,1,1,0,-200.291,1
0,0,1,0,1,1,0,-0.5040000000000191,1
0,0,1,0,1,1,1,898.919,1
0,0,0,0,1,1,1,299.132,1
0,0,0,0,0,1,1,-100.82999999999998,1
0,0,1,0,0,1,1,298.957,1
0,0,1,0,0,1,0,-200.466,1
0,0,0,0,0,1,0,-200.253,1
1,0,0,0,0,1,0,-416.97999999999996,1
1,0,1,0,0,1,0,-217.19299999999998,1
1,0,1,0,0,1,1,482.23,1
1,0,0,0,0,1,1,-117.55699999999996,1
1,0,0,0,1,1,1,482.40500000000003,1
1,0,1,0,1,1,1,1282.192,1
1,0,1,0,1,1,0,182.769,1
1,0,0,0,1,1,0,-217.01799999999997,1
1,0,0,0,1,0,0,-216.765,1
1,0,1,0,1,0,0,-16.97800000000001,1
1,0,1,0,1,0,1,682.4449999999999,1
1,0,0,0,1,0,1,82.65800000000002,1
1,0,0,0,0,0,1,-317.304,1
1,0,1,0,0,0,1,82.483,1
1,0,1,0,0,0,0,-216.94,1
1,0,0,0,0,0,0,-216.72699999999998,1
1,1,0,0,0,0,0,-316.783,1
1,1,1,0,0,0,0,-116.99599999999998,1
1,1,1,0,0,0,1,382.427,1
1,1,0,0,0,0,1,-217.36,1
1,1,0,0,1,0,1,182.602,1
1,1,1,0,1,0,1,982.3889999999999,1
1,1,1,0,1,0,0,82.96599999999998,1
1,1,0,0,1,0,0,-316.821,1
1,1,0,0,1,1,0,-117.07399999999996,1
1,1,1,0,1,1,0,482.71299999999997,1
1,1,1,0,1,1,1,1782.136,1
1,1,0,0,1,1,1,782.349,1
1,1,0,0,0,1,1,182.38700000000003,1
1,1,1,0,0,1,1,982.174,1
1,1,1,0,0,1,0,82.75099999999998,1
1,1,0,0,0,1,0,-317.03599999999994,1
0,1,0,0,0,1,0,-100.30899999999997,1
0,1,1,0,0,1,0,99.47799999999995,1
0,1,1,0,0,1,1,798.901,1
0,1,0,0,0,1,1,199.114,1
0,1,0,0,1,1,1,599.076,1
0,1,1,0,1,1,1,1398.8629999999998,1
0,1,1,0,1,1,0,299.43999999999994,1
