solution,fval,prob,rank_prob,rank_fval
[1. 0. 0. 0. 0. 1. 0.],-314.63,0.03710937499999999,1,1
[0. 1. 0. 0. 1. 0. 0.],-313.548,0.005859374999999999,60,2
[0. 0. 0. 0. 0. 0. 1.],-308.033,0.015625,21,3
[1. 1. 0. 1. 0. 0. 0.],-307.131,0.0009765625,104,4
[0. 0. 1. 1. 0. 0. 0.],-302.751,0.0019531250000000004,96,5
[0. 0. 0. 0. 1. 1. 0.],-222.20799999999997,0.0166015625,18,6
[1. 1. 0. 0. 1. 0. 0.],-218.51599999999996,0.007812500000000002,49,7
[1. 0. 0. 1. 0. 1. 0.],-215.79099999999994,0.018554687500000003,17,8
[1. 1. 0. 0. 0. 1. 0.],-215.63199999999995,0.015625,20,9
[0. 1. 0. 1. 1. 0. 0.],-214.709,0.00390625,77,10
[0. 0. 1. 0. 1. 0. 0.],-214.13599999999997,0.0019531250000000004,101,11
[1. 0. 0. 0. 0. 0. 1.],-213.00099999999998,0.0009765625,111,12
[0. 0. 0. 0. 1. 0. 0.],-212.546,0.0019531250000000004,98,13
[0. 0. 1. 0. 0. 1. 0.],-211.25199999999995,0.00390625,84,14
[0. 0. 0. 0. 0. 1. 0.],-209.66199999999998,0.007812500000000002,44,15
[0. 0. 0. 1. 0. 0. 1.],-209.19400000000002,0.023437499999999997,8,16
[0. 1. 0. 0. 0. 0. 1.],-209.03500000000003,0.0019531250000000004,99,17
[1. 0. 1. 1. 0. 0. 0.],-207.719,0.004882812500000001,69,18
[1. 0. 0. 1. 0. 0. 0.],-206.129,0.0029296874999999996,90,19
[1. 1. 0. 0. 0. 0. 0.],-205.97,0.00390625,81,20
[0. 1. 1. 1. 0. 0. 0.],-203.753,0.0244140625,7,21
[0. 1. 0. 1. 0. 0. 0.],-202.163,0.0107421875,31,22
[0. 0. 1. 0. 0. 0. 0.],-201.58999999999997,0.013671875,23,23
[1. 0. 0. 0. 1. 1. 0.],-127.17599999999993,0.006835937500000001,54,24
[0. 1. 0. 0. 1. 1. 0.],-123.21000000000004,0.0029296874999999996,92,25
[0. 0. 0. 0. 1. 0. 1.],-120.57899999999995,0.011718749999999998,26,26
[1. 1. 0. 1. 1. 0. 0.],-119.67699999999991,0.0029296874999999996,88,27
[0. 0. 0. 0. 0. 1. 1.],-117.69499999999994,0.005859374999999999,59,28
[1. 0. 0. 0. 1. 0. 0.],-117.51400000000001,0.005859374999999999,55,29
[1. 1. 0. 1. 0. 1. 0.],-116.79299999999989,0.005859374999999999,58,30
[1. 0. 1. 0. 0. 1. 0.],-116.22000000000003,0.013671875,22,31
[0. 0. 1. 1. 1. 0. 0.],-115.29700000000003,0.011718749999999998,29,32
[0. 1. 1. 0. 1. 0. 0.],-115.13799999999992,0.00390625,86,33
[1. 0. 0. 1. 0. 0. 1.],-114.16200000000003,0.018554687500000003,15,34
[1. 1. 0. 0. 0. 0. 1.],-114.00300000000004,0.004882812500000001,68,35
[0. 0. 0. 1. 1. 0. 0.],-113.707,0.0009765625,106,36
[0. 0. 1. 1. 0. 1. 0.],-112.41300000000001,0.004882812500000001,67,37
[0. 0. 0. 1. 0. 1. 0.],-110.82299999999998,0.00390625,82,38
[0. 1. 0. 1. 0. 0. 1.],-110.19600000000003,0.004882812500000001,65,39
[0. 0. 1. 0. 0. 0. 1.],-109.62299999999999,0.006835937500000001,51,40
[1. 1. 1. 1. 0. 0. 0.],-108.72099999999995,0.021484375,9,41
[1. 0. 1. 0. 0. 0. 0.],-106.55799999999999,0.00390625,85,42
[1. 0. 0. 0. 0. 0. 0.],-104.96799999999999,0.004882812500000001,66,43
[0. 1. 1. 0. 0. 0. 0.],-102.59199999999998,0.0107421875,35,44
