x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
1,1,0,1,0,0,0,0.0,-3030.817,124
1,0,0,0,0,1,0,0.0,-3023.2340000000004,159
0,1,0,0,1,0,0,0.0,-3021.3089999999997,150
0,0,1,1,0,0,0,0.0,-3016.232,238
0,0,0,0,0,0,1,0.0,-3015.6369999999997,88
1,0,0,1,0,1,0,0.0,-2038.7980000000007,16
0,1,0,1,1,0,0,0.0,-2036.8729999999996,19
1,1,0,0,0,1,0,0.0,-2032.4210000000003,11
0,0,0,1,0,0,1,0.0,-2031.201,13
0,0,0,0,1,1,0,0.0,-2029.29,18
1,1,0,0,1,0,0,0.0,-2027.375,15
0,1,1,1,0,0,0,0.0,-2025.419,15
0,1,0,0,0,0,1,0.0,-2024.8239999999996,8
0,1,0,1,0,0,0,0.0,-2024.751,13
1,0,1,1,0,0,0,0.0,-2022.2980000000005,15
1,0,0,0,0,0,1,0.0,-2021.7029999999995,12
1,0,0,1,0,0,0,0.0,-2021.63,8
0,0,1,0,0,1,0,0.0,-2017.8360000000002,14
0,0,0,0,0,1,0,0.0,-2017.1680000000001,8
1,1,0,0,0,0,0,0.0,-2015.253,2
0,0,1,0,1,0,0,0.0,-2012.79,13
0,0,0,0,1,0,0,0.0,-2012.1219999999998,9
0,0,1,0,0,0,0,0.0,-2000.6680000000001,6
1,1,0,1,0,1,0,0.0,-1047.9850000000006,1
1,1,0,1,1,0,0,0.0,-1042.9390000000003,3
0,1,0,0,1,1,0,0.0,-1038.4769999999999,2
1,0,0,1,0,0,1,0.0,-1037.2669999999998,2
1,0,0,0,1,1,0,0.0,-1035.3559999999998,1
0,0,1,1,0,1,0,0.0,-1033.4000000000005,3
0,0,0,0,0,1,1,0.0,-1032.8050000000003,2
1,1,1,1,0,0,0,0.0,-1031.4850000000004,1
0,0,1,1,1,0,0,0.0,-1028.3540000000003,3
0,0,0,1,1,0,0,0.0,-1027.6859999999997,1
0,1,0,0,0,1,0,0.0,-1026.355,1
1,0,1,0,0,1,0,0.0,-1023.902,2
0,1,1,0,1,0,0,0.0,-1021.9769999999999,1
1,0,1,0,0,0,0,0.0,-1006.7340000000004,1
0,1,1,1,1,0,0,0.0,-37.54099999999994,1
0,0,1,0,1,1,0,0.0,-29.958000000000084,1
