x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
1,1,0,1,0,0,0,0.0,-3202.0,131
1,0,0,0,0,1,0,0.0,-3201.5699999999997,188
0,0,1,1,0,0,0,0.0,-3201.379,120
0,1,0,0,1,0,0,0.0,-3200.9440000000004,106
0,0,0,0,0,0,1,0.0,-3200.1270000000004,151
1,0,1,1,0,0,0,0.0,-2402.3779999999997,15
1,1,0,0,1,0,0,0.0,-2401.943,9
0,0,1,0,1,0,0,0.0,-2401.322,26
1,0,0,0,0,0,1,0.0,-2401.126,21
1,0,0,1,0,1,0,0.0,-2202.5699999999997,14
1,0,0,1,0,0,0,0.0,-2201.999,10
0,1,0,1,1,0,0,0.0,-2201.9440000000004,17
1,1,0,0,0,1,0,0.0,-2201.571,16
0,0,0,0,1,1,0,0.0,-2201.514,15
0,1,1,1,0,0,0,0.0,-2201.38,16
0,0,0,1,0,0,1,0.0,-2201.1270000000004,11
1,1,0,0,0,0,0,0.0,-2201.0,15
0,0,1,0,0,1,0,0.0,-2200.95,24
0,0,0,0,1,0,0,0.0,-2200.943,4
0,0,1,0,0,0,0,0.0,-2200.379,13
0,1,0,0,0,0,1,0.0,-2200.1280000000006,21
0,1,0,1,0,0,0,0.0,-2001.001,3
0,0,0,0,0,1,0,0.0,-2000.571,11
1,0,0,0,1,1,0,0.0,-1402.513,1
1,1,1,1,0,0,0,0.0,-1402.379,3
0,0,1,1,1,0,0,0.0,-1402.3220000000001,1
1,0,0,1,0,0,1,0.0,-1402.1260000000002,1
1,0,1,0,0,1,0,0.0,-1401.9489999999996,4
1,0,0,0,1,0,0,0.0,-1401.942,1
1,0,1,0,0,0,0,0.0,-1401.3779999999997,2
0,1,1,0,1,0,0,0.0,-1401.3230000000003,5
1,1,0,0,0,0,1,0.0,-1401.1270000000004,2
0,0,0,0,1,0,1,0.0,-1401.0700000000006,2
0,0,1,0,0,0,1,0.0,-1400.5060000000003,3
1,1,0,1,0,1,0,0.0,-1202.571,1
0,0,0,1,1,0,0,0.0,-1201.9430000000002,1
0,1,0,1,0,0,1,0.0,-1201.1280000000006,1
1,0,0,0,0,0,0,0.0,-1200.9989999999998,3
0,0,0,0,0,1,1,0.0,-1200.6980000000003,1
0,1,1,0,0,0,0,0.0,-1200.38,1
0,0,0,1,0,1,0,0.0,-1001.5709999999999,1
0,0,0,1,0,0,0,0.0,-1001.0,1
0,1,0,0,0,0,0,0.0,-1000.001,1
1,0,0,1,1,0,0,0.0,-402.942,1
1,1,0,0,1,1,0,0.0,-402.5140000000001,1
0,0,1,0,1,1,0,0.0,-401.89300000000003,1
1,0,1,0,0,1,0,0.14285714285714285,-1401.9489999999996,1
0,1,0,1,0,1,0,0.0,-1.5720000000001164,1
0,0,1,1,0,1,0,0.14285714285714285,-1201.9499999999998,1
0,1,1,1,0,1,0,0.14285714285714285,1798.049,1
