x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.06666666666666667,-2.5910000000005766,24
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-4004.7739999999994,10
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-4003.847,8
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-4003.4910000000004,18
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-4003.486,7
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-4003.451,11
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-4002.508,6
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-4002.199,18
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-4002.159,9
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-4001.923,5
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-4001.817,12
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-4001.567,12
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-4001.225,12
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-4001.0240000000003,12
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-4000.9710000000005,15
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-4000.542,5
1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.06666666666666667,2994.8989999999994,13
1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.06666666666666667,-1004.4810000000007,8
0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0.06666666666666667,2996.191,7
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.06666666666666667,-1003.1890000000003,9
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.06666666666666667,-1002.576,8
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.06666666666666667,-1001.6590000000006,7
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,-3005.1449999999995,3
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-3005.018,2
0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,-3004.807999999999,6
1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-3004.7889999999998,7
0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,-3004.779,3
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-3004.768,2
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,-3004.7389999999996,2
0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-3004.7090000000007,6
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-3004.669,5
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-3004.433,4
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,-3004.4179999999997,5
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,-3004.383,6
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-3004.327,3
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-3004.077,8
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-3003.862,2
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-3003.8419999999996,3
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-3003.813,1
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-3003.735,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-3003.5340000000006,3
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,-3003.5200000000004,2
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-3003.501,1
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0,-3003.4970000000003,4
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,-3003.4850000000006,6
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-3003.4810000000007,7
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-3003.476,4
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,-3003.4570000000003,3
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.0,-3003.4399999999996,4
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-3003.4359999999997,5
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0,-3003.0910000000003,4
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-3003.052,3
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0,-3002.884,3
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,-3002.8549999999996,2
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.0,-3002.785,7
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-3002.559,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-3002.523,4
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,-3002.513,4
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.0,-3002.443,3
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,-3002.2880000000005,9
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-3002.264,6
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,-3002.259,4
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-3002.214000000001,7
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,-3002.209,3
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0,-3002.193,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,-3002.1890000000003,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,-3002.188,6
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-3002.174,6
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,-3002.165,6
1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,-3002.1569999999997,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,-3002.152,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,-3002.117,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,-3002.0609999999997,5
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.0,-3001.9570000000003,2
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,-3001.956,1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-3001.938,3
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,-3001.9030000000002,8
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,-3001.8510000000006,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-3001.84,2
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-3001.8320000000003,9
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,-3001.8109999999997,4
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,-3001.8109999999997,1
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0,-3001.6010000000006,3
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,-3001.5959999999995,1
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,-3001.5609999999997,4
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-3001.5519999999997,2
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-3001.4739999999997,3
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-3001.4339999999993,2
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,-3001.2670000000003,5
