x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-40071.257999999994,10
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-40068.793,13
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-40058.299,13
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-40054.566999999995,14
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-40053.666000000005,3
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-40048.213,11
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-40047.269,8
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-40047.011,9
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-40038.613,6
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-40034.681,9
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-40032.216,11
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.06666666666666667,-20085.800999999992,4
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-40030.45,9
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-40028.958,17
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-40020.928,4
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-40003.69,12
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,-30096.243,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-30089.136,4
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0,-30085.213,5
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.0,-30082.14899999999,2
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-30077.27,4
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,-30075.587000000003,4
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0,-30073.337999999996,5
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-30072.624999999993,4
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-30072.444999999992,9
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,-30071.655,3
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-30071.54400000001,3
0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,-30070.873,7
1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-30070.159999999996,1
0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,-30069.190000000002,4
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,-30067.614999999998,5
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.0,-30067.612,2
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,-30065.932,4
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,-30065.458,4
0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-30065.147000000004,3
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-30064.888999999996,3
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,-30064.633,1
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0,-30064.557,2
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,-30061.889000000003,1
