x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-4000016.9529999997,10
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-4000016.9460000005,7
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-4000016.931,14
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-4000016.929,13
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-4000016.9230000004,3
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-4000016.9179999996,9
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-4000016.914,6
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-4000016.909,21
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-4000016.909,3
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-4000016.9080000003,5
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-4000016.907,11
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-4000016.878,9
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-4000016.8710000003,9
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-4000016.87,23
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-4000016.84,10
1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0.06666666666666667,-1000032.2660000008,4
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.06666666666666667,-4000016.9460000005,2
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.06666666666666667,-4000016.9080000003,8
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.06666666666666667,-4000016.907,4
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,-4000016.8710000003,7
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.06666666666666667,-3000015.397,7
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.06666666666666667,-2000026.9180000005,2
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.06666666666666667,-3000015.359,2
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.06666666666666667,-3000015.358,8
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,-3000015.3219999997,5
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,-3000024.353,3
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-3000024.342,6
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-3000024.3379999995,6
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.0,-3000024.3380000005,2
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-3000024.3310000002,2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,-3000024.33,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.0,-3000024.321,3
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-3000024.3140000002,7
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-3000024.308,1
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-3000024.3029999994,4
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,-3000024.3000000007,1
0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-3000024.2990000006,3
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-3000024.2939999998,11
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-3000024.2939999998,1
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-3000024.2930000005,1
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-3000024.2630000003,4
1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,-3000022.277,3
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-3000022.266,6
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,-3000022.257,2
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,-3000022.257,9
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,-3000022.256,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,-3000022.241,3
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,-3000022.2399999998,4
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-3000022.2299999995,4
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0,-3000022.226,5
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,-3000022.2190000005,4
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,-3000022.2190000005,4
0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,-3000022.2180000003,5
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,-3000022.21,6
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,-3000022.188,1
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,-3000022.182,6
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0,-3000019.5949999997,4
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0,-3000019.5779999997,6
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0,-3000019.5710000005,4
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,-3000019.557,1
0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,-3000019.556,2
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,-3000019.5480000004,4
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,-3000019.535,6
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.0,-3000019.534,11
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,-3000019.534,2
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,-3000019.533,2
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-3000019.5199999996,4
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,-3000019.512,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,-3000019.5040000007,4
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0,-3000019.5030000005,3
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,-3000019.4960000003,5
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,-3000019.465,3
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-3000018.5020000003,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-3000018.4909999995,5
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0,-3000018.4869999997,2
1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-3000018.48,2
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-3000018.4669999997,3
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-3000018.4630000005,3
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-3000018.4580000006,2
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,-3000018.443,6
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,-3000018.4350000005,2
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-3000018.427,1
0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0,-3000018.426,5
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-3000018.4189999998,6
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,-3000018.3959999997,1
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-3000018.3890000004,3
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-3000015.397,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-3000015.38,2
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-3000015.359,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-3000015.3219999997,6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-3000014.304,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3000014.2929999996,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,-3000014.289,2
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-3000014.245,5
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-3000011.575,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,-3000011.566,3
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-3000011.5590000004,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-3000009.546,4
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-3000009.522,2
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-3000009.486,2
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-3000009.485,6
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-3000009.455,1
1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0.13333333333333333,-1000032.2660000008,3
0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0.13333333333333333,-30.717000000178814,5
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.13333333333333333,-2000026.9180000005,4
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.13333333333333333,-1000025.369,3
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.06666666666666667,-3000024.3310000002,6
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.06666666666666667,-3000024.2930000005,1
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.06666666666666667,-2000022.7820000004,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.06666666666666667,-2000022.744,1
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.06666666666666667,-3000022.2190000005,1
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.06666666666666667,-2000020.7070000004,3
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.06666666666666667,-1000032.2290000003,3
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.06666666666666667,-2000020.67,2
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.06666666666666667,-3000019.5710000005,4
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.06666666666666667,-3000019.535,2
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,-3000019.4960000003,6
1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.06666666666666667,-2000029.6410000008,1
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.06666666666666667,-2000018.0219999999,3
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.06666666666666667,-2000017.986,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.06666666666666667,-2000017.9840000002,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.06666666666666667,-4000016.909,3
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.06666666666666667,-4000016.87,4
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06666666666666667,-3000014.282,2
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.06666666666666667,-1000025.369,2
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.06666666666666667,-2000024.881,1
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.06666666666666667,-3000024.2930000005,1
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,-3000011.5590000004,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,-2000010.01,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,-3000009.486,1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.06666666666666667,-2000007.973,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,-2000007.937,1
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-2000029.6900000004,2
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.0,-2000029.6780000003,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-2000029.6729999995,2
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.0,-2000029.6639999999,3
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,-2000029.6630000002,2
1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,-2000029.6620000005,1
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-2000029.6519999998,1
0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,-2000029.642,3
