x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-4000026.188,12
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-4000024.7169999997,6
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-4000024.576,4
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-4000024.368,9
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-4000023.819,13
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-4000023.1049999995,1
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-4000021.0890000006,12
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-4000020.898,14
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-4000020.4869999997,8
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-4000020.279,26
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-4000018.117,10
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-4000016.42,7
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-4000014.6300000004,10
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-4000012.024,16
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-4000007.6220000004,17
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-3000038.3149999995,3
0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-3000037.966,4
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-3000036.7029999997,1
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.0,-3000036.495,3
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-3000034.4960000003,3
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-3000033.8770000003,5
0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,-3000032.0810000002,3
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-3000031.715,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.0,-3000031.507,7
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,-3000030.6099999994,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,-3000030.244,3
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-3000030.018,2
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,-3000029.8100000005,10
