x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-4000203.8729999997,21
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-4000203.4629999995,15
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-4000203.1389999995,5
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-4000202.329,11
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-4000202.278,11
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-4000202.23,12
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-4000202.1780000003,15
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-4000202.1270000003,13
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-4000201.9979999997,18
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-4000201.3439999996,20
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-4000201.2690000003,20
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-4000200.9299999997,11
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-4000200.5309999995,8
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-4000200.351,11
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-4000200.132,11
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,-3000404.4239999996,3
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,-3000404.024,5
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-3000403.8729999997,8
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-3000403.4629999995,2
0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0,-3000403.29,4
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-3000403.139,1
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0,-3000402.959,4
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-3000402.329,3
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-3000402.278,2
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-3000402.2300000004,4
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,-3000402.149,2
1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-3000401.998,2
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-3000400.9299999997,2
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-3000400.75,4
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-3000400.351,5
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-3000400.132,2
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-3000204.8719999995,5
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,-3000204.4619999994,2
0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-3000204.138,2
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.0,-3000204.0870000003,6
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,-3000204.0529999994,9
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,-3000203.642999999,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,-3000203.592,7
0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,-3000203.3279999997,4
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,-3000203.3039999995,4
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,-3000203.277,3
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-3000203.277,2
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0,-3000203.2290000003,7
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-3000203.2290000003,4
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,-3000203.2249999996,5
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,-3000203.1439999994,1
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-3000203.126,5
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,-3000202.959,6
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-3000202.874,3
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,-3000202.8149999995,4
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,-3000202.493999999,3
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-3000202.4639999997,4
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.0,-3000202.4579999996,4
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,-3000202.4189999998,1
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0,-3000202.41,1
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-3000202.3429999994,6
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,-3000202.3429999994,4
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0,-3000202.307,4
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,-3000202.268,8
